shot_id,phase,n_slices,n_ood_slices,r_OOD,train_fraction_membership
12272,train,38,0,0,"50,100"
12275,train,15,0,0,"50,100"
12278,train,23,0,0,"25,50,100"
12280,train,2,0,0,"5,25,50,100"
12287,train,10,0,0,"25,100"
12288,train,1,0,0,100
12289,train,4,0,0,100
12294,train,3,0,0,"50,100"
12299,train,22,0,0,100
12300,train,38,0,0,"25,100"
12301,train,38,0,0,100
12302,train,38,0,0,"25,100"
12303,train,31,0,0,100
12304,train,24,0,0,100
12305,train,4,0,0,100
12306,train,41,0,0,100
12309,train,4,0,0,"25,50,100"
12313,train,36,0,0,"50,100"
12314,train,39,0,0,100
12315,train,34,0,0,100
12320,train,31,0,0,"25,100"
12321,train,18,0,0,"50,100"
12323,train,20,0,0,"50,100"
12326,train,30,0,0,100
12327,train,40,0,0,"50,100"
12328,train,36,0,0,100
12354,train,33,1,0.0303030303,100
12355,train,45,0,0,100
12356,train,36,0,0,"50,100"
12357,train,15,0,0,"50,100"
12358,train,21,0,0,"25,100"
12359,train,33,0,0,"50,100"
12360,train,36,0,0,"50,100"
12361,train,39,0,0,"5,50,100"
12362,train,33,0,0,100
12363,train,29,0,0,"25,100"
12364,train,21,0,0,100
12365,train,26,0,0,"50,100"
12366,train,21,0,0,100
12368,train,3,0,0,"25,50,100"
12369,train,29,0,0,100
12370,train,37,0,0,100
12371,train,41,0,0,"1,50,100"
12372,train,40,0,0,"25,100"
12373,train,35,0,0,100
12376,train,47,0,0,100
12378,train,41,0,0,"50,100"
12379,train,43,0,0,"50,100"
12382,train,30,0,0,"50,100"
12397,train,41,0,0,"50,100"
12399,train,46,0,0,100
12404,train,22,0,0,"50,100"
12406,train,27,0,0,100
12407,train,8,0,0,100
12408,train,19,0,0,"25,50,100"
12409,train,13,0,0,"5,25,50,100"
12410,train,40,0,0,"25,50,100"
12411,train,10,0,0,100
12412,train,3,0,0,"25,100"
12413,train,6,0,0,100
12414,train,15,0,0,"50,100"
12415,train,15,0,0,"25,50,100"
12416,train,12,0,0,"50,100"
12422,train,11,0,0,100
12426,train,48,0,0,100
12427,train,30,0,0,"25,50,100"
12428,train,8,0,0,100
12429,train,28,0,0,"25,50,100"
12430,train,46,0,0,"25,50,100"
12431,train,27,0,0,"50,100"
12432,train,32,0,0,"50,100"
12433,train,40,0,0,"50,100"
12434,train,36,0,0,"25,50,100"
12435,train,34,0,0,100
12436,train,19,0,0,"50,100"
12437,train,50,0,0,"50,100"
12438,train,31,0,0,"25,50,100"
12439,train,9,0,0,100
12440,train,47,0,0,"25,50,100"
12441,train,36,0,0,"25,50,100"
12442,train,32,0,0,100
12444,train,34,0,0,"25,100"
12445,train,40,0,0,100
12446,train,25,0,0,"50,100"
12447,train,41,0,0,"5,100"
12448,train,35,0,0,"50,100"
12449,train,33,0,0,100
12450,train,36,0,0,"25,100"
12451,train,39,0,0,"5,50,100"
12455,train,38,0,0,"50,100"
12456,train,7,0,0,"50,100"
12457,train,6,0,0,"25,100"
12458,train,22,0,0,100
12460,train,17,0,0,"5,100"
12461,train,19,0,0,"25,50,100"
12462,train,18,0,0,"50,100"
12463,train,18,0,0,"5,25,50,100"
12465,train,4,0,0,"25,100"
12466,train,17,0,0,100
12467,train,6,0,0,100
12468,train,15,0,0,100
12469,train,13,0,0,"25,50,100"
12470,train,17,0,0,"25,50,100"
12471,train,13,0,0,"5,25,100"
12472,train,27,0,0,"25,50,100"
12473,train,19,0,0,"50,100"
12474,train,28,0,0,100
12475,train,53,0,0,"50,100"
12476,train,27,0,0,"50,100"
12477,train,28,0,0,"50,100"
12493,train,48,0,0,100
12494,train,33,0,0,"50,100"
12495,train,28,0,0,100
12497,train,40,0,0,100
12498,train,5,0,0,"50,100"
12499,train,38,0,0,"50,100"
12500,train,49,0,0,"50,100"
12501,train,34,0,0,"25,100"
12503,train,19,0,0,"50,100"
12505,train,49,0,0,"50,100"
12506,train,49,0,0,100
12509,train,4,0,0,"50,100"
12511,train,12,0,0,100
12512,train,14,0,0,"25,50,100"
12513,train,16,0,0,"50,100"
12514,train,11,0,0,"50,100"
12515,train,29,0,0,100
12517,train,30,0,0,"25,100"
12518,train,30,0,0,"25,100"
12519,train,30,0,0,100
12522,train,47,0,0,"50,100"
12523,train,44,0,0,"25,50,100"
12524,train,19,0,0,"25,100"
12527,train,38,0,0,"50,100"
12528,train,27,0,0,"50,100"
12530,train,29,0,0,"25,100"
12532,train,21,0,0,100
12533,train,27,0,0,"25,100"
12534,train,25,0,0,"50,100"
12535,train,15,0,0,"25,50,100"
12536,train,35,0,0,100
12537,train,39,0,0,100
12538,train,26,0,0,100
12539,train,32,0,0,"25,50,100"
12540,train,31,0,0,"25,50,100"
12541,train,33,0,0,"50,100"
12542,train,38,0,0,100
12543,train,43,0,0,100
12544,train,40,0,0,100
12545,train,35,0,0,"25,50,100"
12546,train,39,0,0,"50,100"
12547,train,40,0,0,100
12548,train,29,0,0,"25,100"
12549,train,37,0,0,100
12550,train,34,0,0,100
12551,train,31,0,0,100
12552,train,15,0,0,100
12554,train,25,0,0,100
12555,train,40,0,0,"25,100"
12556,train,15,0,0,"50,100"
12557,train,36,0,0,"50,100"
12560,train,39,0,0,100
12561,train,39,0,0,"50,100"
12563,train,26,0,0,100
12602,train,50,0,0,"25,100"
12603,train,9,0,0,100
12604,train,16,0,0,100
12605,train,16,0,0,"50,100"
12607,train,15,0,0,"50,100"
12608,train,15,0,0,"50,100"
12613,train,12,0,0,100
12614,train,2,0,0,100
12616,train,7,0,0,100
12617,train,11,0,0,"50,100"
12619,train,20,0,0,"50,100"
12620,train,18,0,0,"50,100"
12621,train,11,0,0,"50,100"
12622,train,14,0,0,"50,100"
12623,train,6,0,0,"25,50,100"
12624,train,16,0,0,"1,100"
12625,train,19,0,0,"25,100"
12626,train,18,0,0,"50,100"
12627,train,14,0,0,"25,100"
12628,train,11,0,0,"25,50,100"
12629,train,9,0,0,100
12631,train,18,0,0,"25,50,100"
12656,train,5,0,0,"25,100"
12660,train,1,0,0,"50,100"
12665,train,51,0,0,100
12671,train,20,0,0,100
12678,train,11,0,0,"50,100"
12680,train,53,0,0,100
12681,train,31,0,0,"25,50,100"
12682,train,4,0,0,"1,50,100"
12683,train,7,0,0,"5,25,50,100"
12684,train,12,0,0,"25,100"
12685,train,11,0,0,"25,100"
12686,train,14,0,0,"25,50,100"
12687,train,5,0,0,100
12688,train,3,0,0,"25,100"
12689,train,2,0,0,100
12690,train,5,0,0,"1,50,100"
12691,train,10,0,0,"50,100"
12694,train,51,0,0,"25,50,100"
12695,train,4,0,0,"50,100"
12696,train,17,0,0,100
12697,train,1,0,0,100
12698,train,4,0,0,100
12699,train,3,0,0,"5,100"
12700,train,2,0,0,"50,100"
12701,train,18,0,0,"25,100"
12702,train,2,0,0,100
12704,train,8,0,0,"50,100"
12705,train,12,0,0,100
12706,train,6,0,0,"50,100"
12707,train,9,0,0,"50,100"
12711,train,50,0,0,"50,100"
12712,train,18,0,0,100
12724,train,1,0,0,100
12739,train,9,0,0,100
12742,train,52,0,0,100
12743,train,25,0,0,"50,100"
12744,train,9,0,0,"25,50,100"
12745,train,10,0,0,100
12746,train,49,0,0,"25,50,100"
12747,train,13,0,0,"50,100"
12750,train,6,0,0,"25,100"
12751,train,13,0,0,"25,100"
12752,train,13,0,0,"5,100"
12753,train,21,0,0,"25,50,100"
12755,train,15,0,0,100
12756,train,49,0,0,"50,100"
12757,train,38,0,0,"50,100"
12758,train,37,0,0,"25,50,100"
12759,train,43,0,0,100
12762,train,29,0,0,100
12763,train,27,0,0,"25,50,100"
12764,train,24,0,0,"50,100"
12765,train,16,0,0,100
12766,train,14,0,0,"50,100"
12774,train,3,0,0,100
12776,train,37,0,0,100
12777,train,30,0,0,"50,100"
12778,train,15,0,0,100
12779,train,19,0,0,"25,100"
12780,train,17,0,0,"50,100"
12781,train,15,0,0,"50,100"
12782,train,20,0,0,100
12783,train,19,0,0,"50,100"
12784,train,24,0,0,100
12785,train,26,0,0,"25,50,100"
12786,train,22,0,0,"50,100"
12787,train,29,0,0,100
12788,train,30,0,0,100
12789,train,32,0,0,"50,100"
12790,train,26,0,0,100
12791,train,3,0,0,"50,100"
12792,train,40,0,0,"25,50,100"
12793,train,27,0,0,100
12794,train,37,0,0,100
12795,train,43,0,0,"50,100"
12797,train,30,0,0,100
12798,train,47,0,0,"50,100"
12799,train,24,0,0,100
12803,train,52,0,0,"50,100"
12804,train,43,0,0,"50,100"
12805,train,42,0,0,"25,100"
12806,train,35,0,0,100
12807,train,1,0,0,100
12808,train,14,0,0,"25,100"
12809,train,35,0,0,100
12811,train,8,0,0,100
12812,train,23,0,0,100
12814,train,25,0,0,100
12817,train,19,0,0,"25,50,100"
12820,train,10,0,0,"25,100"
12821,train,14,0,0,"25,50,100"
12822,train,24,0,0,"25,50,100"
12823,train,33,0,0,"50,100"
12824,train,4,0,0,100
12825,train,24,0,0,"50,100"
12826,train,17,0,0,"25,50,100"
12827,train,8,0,0,"50,100"
12828,train,1,0,0,100
12829,train,2,0,0,100
12830,train,2,0,0,100
12832,train,2,0,0,"25,50,100"
12835,train,48,0,0,100
12836,train,4,0,0,"25,50,100"
12837,train,23,0,0,"25,50,100"
12838,train,8,0,0,100
12839,train,12,0,0,"25,50,100"
12840,train,20,0,0,100
12841,train,19,0,0,"50,100"
12842,train,27,0,0,"25,50,100"
12843,train,33,0,0,100
12844,train,39,0,0,100
12845,train,46,0,0,100
12846,train,29,0,0,100
12853,train,12,0,0,"50,100"
12857,train,54,0,0,"50,100"
12858,train,31,0,0,100
12859,train,29,0,0,100
12860,train,43,0,0,"25,100"
12861,train,42,0,0,100
12863,train,38,0,0,"5,100"
12864,train,36,0,0,100
12866,train,33,0,0,"50,100"
12867,train,36,0,0,100
12868,train,35,0,0,100
12869,train,34,0,0,"25,100"
12870,train,33,0,0,"25,50,100"
12871,train,41,0,0,"5,100"
12872,train,39,0,0,"25,50,100"
12873,train,41,0,0,"50,100"
12874,train,46,0,0,100
12875,train,47,0,0,"50,100"
12876,train,41,0,0,100
12877,train,39,0,0,100
12878,train,42,0,0,100
12879,train,44,0,0,100
12881,train,48,0,0,"50,100"
12882,train,46,0,0,100
12883,train,45,0,0,"50,100"
12884,train,42,0,0,100
12885,train,47,0,0,"25,50,100"
12886,train,39,1,0.0256410256,"50,100"
12887,train,33,0,0,"50,100"
12890,train,48,0,0,"50,100"
12899,train,19,0,0,100
12900,train,25,0,0,"50,100"
12901,train,1,0,0,"50,100"
12902,train,6,0,0,"1,50,100"
12903,train,26,0,0,100
12904,train,18,0,0,"50,100"
12905,train,49,0,0,"50,100"
12906,train,45,0,0,100
12910,train,48,0,0,100
12911,train,46,0,0,"50,100"
12912,train,31,0,0,"50,100"
12913,train,16,0,0,"50,100"
12914,train,17,0,0,100
12915,train,28,0,0,100
12916,train,6,0,0,"25,100"
12917,train,7,0,0,"50,100"
12918,train,7,0,0,100
12919,train,14,0,0,100
12920,train,41,0,0,"50,100"
12921,train,26,0,0,"25,100"
12922,train,18,0,0,100
12923,train,20,0,0,"50,100"
12924,train,16,0,0,"50,100"
12925,train,37,0,0,"5,25,50,100"
12926,train,34,0,0,"50,100"
12927,train,35,0,0,"25,100"
12929,train,18,0,0,"25,100"
12930,train,10,0,0,100
12931,train,18,0,0,"50,100"
12932,train,12,0,0,100
12936,train,52,0,0,"50,100"
12944,train,1,0,0,"50,100"
12945,train,1,0,0,"5,50,100"
12947,train,4,0,0,100
12948,train,3,0,0,"25,100"
12951,train,2,0,0,100
12955,train,15,0,0,100
12956,train,24,0,0,"5,25,100"
12957,train,17,0,0,100
12958,train,19,0,0,100
12959,train,15,0,0,100
12960,train,40,0,0,100
12961,train,41,0,0,100
12962,train,14,0,0,100
12963,train,22,0,0,"50,100"
12964,train,42,0,0,"25,50,100"
12965,train,23,0,0,"25,100"
12966,train,16,0,0,"25,50,100"
12967,train,26,0,0,100
12968,train,27,0,0,100
12971,train,55,0,0,"25,100"
12972,train,51,0,0,"25,50,100"
12973,train,24,0,0,"25,100"
12974,train,26,0,0,100
12975,train,16,0,0,"50,100"
12976,train,12,0,0,"25,50,100"
12977,train,1,0,0,"50,100"
12978,train,2,0,0,100
12980,train,5,0,0,"25,100"
12981,train,1,0,0,"25,100"
12982,train,15,0,0,"50,100"
12983,train,11,0,0,"25,50,100"
12984,train,2,0,0,100
12985,train,12,0,0,"50,100"
12986,train,9,0,0,100
12987,train,8,0,0,"25,50,100"
12988,train,14,0,0,100
12989,train,39,0,0,"50,100"
12990,train,42,0,0,"50,100"
12991,train,32,0,0,"50,100"
12995,train,31,0,0,"50,100"
12996,train,21,0,0,"25,100"
12998,train,26,0,0,"50,100"
12999,train,23,0,0,"50,100"
13001,train,44,0,0,"50,100"
13002,train,25,0,0,100
13003,train,36,0,0,100
13004,train,33,0,0,100
13007,train,53,0,0,"5,100"
13008,train,33,0,0,"50,100"
13009,train,10,0,0,100
13010,train,5,0,0,"25,100"
13011,train,33,0,0,"25,100"
13012,train,28,0,0,100
13015,train,42,0,0,"50,100"
13016,train,46,0,0,100
13017,train,33,0,0,100
13018,train,37,0,0,100
13019,train,35,0,0,"50,100"
13020,train,18,0,0,"25,100"
13021,train,21,0,0,100
13022,train,37,0,0,100
13023,train,29,0,0,100
13024,train,42,0,0,"25,100"
13026,train,44,0,0,"25,100"
13028,train,48,0,0,"50,100"
13029,train,49,0,0,100
13030,train,43,0,0,"50,100"
13031,train,43,0,0,100
13032,train,45,0,0,"25,50,100"
13033,train,48,0,0,100
13034,train,44,0,0,"5,50,100"
13035,train,45,0,0,"50,100"
13038,train,49,0,0,"50,100"
13039,train,23,2,0.0869565217,100
13043,train,5,0,0,"5,100"
13044,train,11,0,0,100
13046,train,2,0,0,"50,100"
13053,train,20,0,0,100
13059,train,6,0,0,"50,100"
13061,train,6,0,0,"25,50,100"
13062,train,16,0,0,100
13063,train,2,0,0,"5,50,100"
13066,train,4,0,0,"50,100"
13071,train,2,0,0,"50,100"
13080,train,2,0,0,100
13081,train,2,0,0,100
13084,train,23,0,0,100
13085,train,31,0,0,"50,100"
13086,train,13,0,0,100
13089,train,17,0,0,"50,100"
13090,train,18,0,0,"25,50,100"
13092,train,16,0,0,"25,50,100"
13093,train,23,0,0,"25,50,100"
13094,train,25,0,0,"50,100"
13095,train,21,0,0,100
13097,train,19,0,0,100
13101,train,34,0,0,100
13102,train,6,0,0,100
13103,train,7,0,0,"25,100"
13104,train,6,0,0,"50,100"
13109,train,9,0,0,"50,100"
13111,train,11,0,0,100
13112,train,9,0,0,100
13113,train,13,0,0,"25,50,100"
13114,train,2,0,0,"25,50,100"
13115,train,5,0,0,"5,100"
13116,train,8,0,0,100
13117,train,1,0,0,"25,100"
13119,train,6,0,0,"50,100"
13122,train,9,0,0,"25,100"
13125,train,9,0,0,"50,100"
13127,train,12,0,0,"25,100"
13135,train,50,0,0,"50,100"
13137,train,39,0,0,100
13139,train,26,0,0,100
13140,train,16,0,0,"50,100"
13223,train,5,0,0,"50,100"
13224,train,47,0,0,"50,100"
13225,train,40,0,0,"50,100"
13226,train,32,0,0,100
13227,train,26,0,0,"25,50,100"
13228,train,27,0,0,"5,100"
13229,train,35,0,0,"50,100"
13230,train,11,0,0,100
13231,train,13,0,0,"25,100"
13233,train,5,0,0,"50,100"
13234,train,3,0,0,"50,100"
13235,train,8,0,0,"25,50,100"
13237,train,33,0,0,"50,100"
13238,train,17,0,0,"25,50,100"
13252,train,50,0,0,"25,100"
13254,train,39,0,0,"25,50,100"
13265,train,20,0,0,100
13266,train,6,0,0,"50,100"
13268,train,16,0,0,"50,100"
13269,train,17,0,0,100
13274,train,16,0,0,"25,50,100"
13275,train,20,0,0,100
13276,train,24,0,0,"50,100"
13277,train,36,0,0,100
13278,train,24,0,0,"25,50,100"
13279,train,30,0,0,"25,50,100"
13280,train,17,0,0,"50,100"
13281,train,22,0,0,100
13282,train,15,0,0,100
13283,train,28,0,0,"25,100"
13285,train,32,0,0,"50,100"
13286,train,35,0,0,100
13287,train,33,0,0,"50,100"
13288,train,39,0,0,"25,100"
13289,train,22,0,0,100
13290,train,19,0,0,100
13291,train,22,0,0,"25,100"
13292,train,32,0,0,100
13293,train,40,0,0,"50,100"
13294,train,23,0,0,100
13295,train,36,0,0,"5,50,100"
13298,train,26,0,0,100
13299,train,22,0,0,100
13300,train,24,0,0,100
13301,train,23,0,0,"25,100"
13315,train,23,0,0,100
13316,train,6,0,0,100
13318,train,3,0,0,100
13319,train,4,0,0,100
13320,train,7,0,0,100
13322,train,8,0,0,"50,100"
13323,train,3,0,0,100
13326,train,7,0,0,"25,100"
13327,train,5,0,0,100
13328,train,2,0,0,100
13329,train,1,0,0,"25,50,100"
13333,train,3,0,0,"25,50,100"
13334,train,1,0,0,"5,100"
13335,train,1,0,0,"50,100"
13336,train,1,0,0,"50,100"
13337,train,1,0,0,"50,100"
13339,train,1,0,0,"50,100"
13340,train,1,0,0,"50,100"
13342,train,5,0,0,100
13346,train,1,0,0,"25,100"
13347,train,4,0,0,100
13354,train,33,0,0,"50,100"
13355,train,22,0,0,100
13356,train,35,0,0,100
13357,train,41,0,0,100
13358,train,51,0,0,100
13359,train,45,0,0,"25,100"
13360,train,37,0,0,100
14540,train,53,0,0,100
14542,train,50,0,0,"50,100"
14544,train,49,0,0,"25,50,100"
14555,train,4,0,0,"25,50,100"
14557,train,8,0,0,"50,100"
14558,train,9,0,0,"25,50,100"
14559,train,22,0,0,"25,100"
14560,train,43,0,0,"50,100"
14566,train,54,0,0,"50,100"
14567,train,16,0,0,"25,50,100"
14568,train,38,0,0,"5,25,100"
14569,train,29,0,0,100
14570,train,15,0,0,"50,100"
14571,train,16,0,0,100
14573,train,37,0,0,"50,100"
14574,train,30,0,0,"50,100"
14576,train,41,0,0,"25,50,100"
14577,train,31,0,0,"25,100"
14578,train,42,0,0,"50,100"
14580,train,41,0,0,"50,100"
14581,train,44,0,0,"50,100"
14582,train,42,0,0,100
14583,train,21,0,0,"50,100"
14584,train,24,0,0,"50,100"
14585,train,19,0,0,100
14586,train,9,0,0,"25,100"
14587,train,17,0,0,"50,100"
14589,train,3,0,0,"25,100"
14590,train,14,0,0,100
14591,train,18,0,0,"50,100"
14592,train,4,0,0,"50,100"
14594,train,17,0,0,100
14597,train,54,0,0,"50,100"
14600,train,1,0,0,"50,100"
14602,train,21,0,0,"50,100"
14605,train,5,0,0,"50,100"
14607,train,2,0,0,100
14608,train,17,0,0,"50,100"
14611,train,15,0,0,"25,50,100"
14614,train,24,0,0,100
14615,train,10,0,0,"50,100"
14616,train,22,0,0,"25,100"
14618,train,3,0,0,100
14619,train,40,0,0,"50,100"
14620,train,36,0,0,"50,100"
14621,train,20,0,0,100
14622,train,40,0,0,"25,50,100"
14623,train,7,0,0,"25,100"
