shot_id,phase,train_fractions_nested,n_slices
11956,train,25 50 100,47
11957,train, 100,24
11958,train, 100,32
11993,train,25 50 100,30
11996,train,50 100,50
11998,train, 100,32
12001,train, 100,28
12003,train, 100,29
12004,train,50 100,25
12006,train,50 100,24
12007,train, 100,23
12008,train, 100,8
12009,train,50 100,5
12010,train, 100,29
12012,train, 100,27
12013,train, 100,20
12014,train,25 50 100,12
12016,train,50 100,37
12017,train, 100,27
12018,train, 100,17
12022,train,50 100,26
12023,train, 100,43
12024,train, 100,38
12025,train,25 50 100,28
12027,train,25 50 100,23
12028,train,25 50 100,36
12029,train,50 100,36
12030,train,25 50 100,43
12031,train,50 100,48
12032,train,50 100,34
12033,train, 100,42
12034,train,50 100,48
12035,train, 100,23
12036,train, 100,36
12037,train, 100,36
12038,train,50 100,22
12039,train, 100,32
12046,train,50 100,20
12053,train,10 25 50 100,11
12055,train,50 100,8
12056,train,50 100,7
12058,train, 100,17
12063,train,25 50 100,8
12075,train,50 100,6
12076,train,50 100,3
12077,train,50 100,20
12080,train, 100,7
12083,train,50 100,13
12085,train,5 10 25 50 100,10
12088,train, 100,17
12089,train,25 50 100,20
12090,train, 100,17
12092,train,25 50 100,25
12093,train,50 100,21
12094,train, 100,13
12097,train, 100,37
12098,train, 100,41
12100,train,50 100,41
12101,train,50 100,48
12102,train,50 100,44
12106,train, 100,45
12107,train,50 100,46
12108,train, 100,54
12109,train,50 100,40
12110,train,50 100,32
12111,train,50 100,47
12112,train, 100,30
12113,train, 100,44
12114,train, 100,31
12115,train,10 25 50 100,33
12116,train, 100,31
12117,train,50 100,32
12118,train, 100,50
12120,train, 100,22
12130,train, 100,24
12139,train, 100,41
12140,train,50 100,48
12141,train, 100,46
12142,train, 100,42
12143,train,25 50 100,45
12144,train, 100,46
12145,train,50 100,46
12146,train,50 100,20
12147,train, 100,26
12148,train,50 100,42
12150,train,50 100,26
12151,train,50 100,27
12152,train,5 10 25 50 100,52
12153,train, 100,6
12154,train, 100,18
12158,train,50 100,43
12161,train,50 100,14
12162,train, 100,25
12163,train, 100,13
12164,train,25 50 100,33
12165,train, 100,12
12166,train, 100,30
12167,train,5 10 25 50 100,12
12168,train, 100,12
12169,train,50 100,10
12170,train,50 100,28
12171,train, 100,8
12172,train,50 100,7
12173,train, 100,8
12174,train,50 100,7
12175,train, 100,19
12177,train,50 100,28
12178,train, 100,23
12179,train,25 50 100,10
12180,train,25 50 100,28
12181,train,50 100,27
12182,train, 100,4
12183,train,5 10 25 50 100,18
12184,train, 100,3
12185,train, 100,19
12189,train,25 50 100,48
12190,train,50 100,51
12191,train, 100,49
12192,train,50 100,47
12193,train, 100,2
12194,train,5 10 25 50 100,51
12195,train,25 50 100,59
12196,train,25 50 100,41
12198,train, 100,42
12199,train, 100,4
12200,train,50 100,48
12201,train,5 10 25 50 100,44
12202,train,25 50 100,27
12203,train, 100,36
12204,train,50 100,35
12208,train,50 100,25
12209,train,10 25 50 100,30
12210,train, 100,18
12214,train,50 100,54
12215,train,50 100,57
12216,train,50 100,52
12218,train,50 100,39
12219,train,25 50 100,45
12220,train,10 25 50 100,57
12221,train,25 50 100,50
12223,train, 100,32
12224,train,25 50 100,48
12228,train, 100,1
12229,train, 100,44
12230,train,25 50 100,14
12231,train,5 10 25 50 100,1
12232,train,50 100,39
12233,train, 100,1
12234,train,10 25 50 100,54
12236,train, 100,51
12237,train, 100,40
12241,train, 100,44
12242,train,50 100,40
12243,train, 100,26
12245,train, 100,28
12246,train, 100,23
12247,train,50 100,32
12248,train,50 100,29
12250,train,25 50 100,33
12252,train, 100,29
12253,train,5 10 25 50 100,31
12254,train, 100,33
12255,train, 100,40
12256,train,10 25 50 100,39
12257,train, 100,35
12258,train, 100,38
12259,train,25 50 100,14
12260,train, 100,37
12261,train,10 25 50 100,35
12262,train,50 100,30
12263,train, 100,22
12264,train, 100,23
12266,train,10 25 50 100,33
12267,train, 100,35
12268,train, 100,35
12269,train, 100,36
12270,train, 100,27
12272,train,50 100,39
12275,train,50 100,15
12278,train, 100,23
12280,train,25 50 100,2
12283,train, 100,1
12287,train,50 100,10
12288,train, 100,1
12289,train, 100,4
12294,train, 100,3
12299,train, 100,22
12300,train,50 100,38
12301,train, 100,38
12302,train, 100,38
12303,train, 100,31
12304,train, 100,24
12305,train,10 25 50 100,4
12306,train, 100,49
12309,train,50 100,10
12312,train, 100,7
12313,train,50 100,36
12314,train, 100,39
12315,train,50 100,40
12316,train,25 50 100,16
12317,train,50 100,14
12318,train, 100,8
12320,train, 100,33
12321,train, 100,25
12322,train,10 25 50 100,1
12323,train, 100,24
12324,train,50 100,6
12325,train,25 50 100,7
12326,train, 100,37
12327,train, 100,49
12328,train,25 50 100,37
12329,train, 100,11
12330,train, 100,7
12331,train,50 100,1
12354,train, 100,33
12355,train, 100,45
12356,train, 100,36
12357,train,50 100,15
12358,train, 100,21
12359,train, 100,33
12360,train,50 100,36
12361,train, 100,39
12362,train, 100,33
12363,train, 100,29
12364,train, 100,21
12365,train,25 50 100,26
12366,train,50 100,21
12368,train,50 100,3
12369,train,50 100,29
12370,train, 100,37
12371,train,50 100,41
12372,train, 100,40
12373,train,50 100,35
12376,train, 100,47
12378,train,25 50 100,41
12379,train, 100,43
12382,train, 100,30
12385,train, 100,1
12391,train,25 50 100,28
12392,train,25 50 100,13
12397,train,25 50 100,41
12399,train, 100,46
12403,train,25 50 100,2
12404,train, 100,22
12406,train,25 50 100,27
12407,train, 100,8
12408,train, 100,19
12409,train, 100,13
12410,train,50 100,40
12411,train,5 10 25 50 100,10
12412,train,25 50 100,3
12413,train, 100,6
12414,train,25 50 100,15
12415,train,10 25 50 100,15
12416,train,50 100,12
12417,train, 100,1
12418,train, 100,2
12422,train, 100,12
12426,train,50 100,48
12427,train, 100,30
12428,train,5 10 25 50 100,8
12429,train,50 100,28
12430,train,50 100,46
12431,train,50 100,27
12432,train, 100,32
12433,train,25 50 100,41
12434,train,50 100,36
12435,train, 100,34
12436,train, 100,19
12437,train,50 100,50
12438,train,50 100,33
12439,train,25 50 100,10
12440,train,50 100,47
12441,train,10 25 50 100,36
12442,train, 100,32
12444,train, 100,34
12445,train,10 25 50 100,40
12446,train,5 10 25 50 100,25
12447,train, 100,41
12448,train,5 10 25 50 100,35
12449,train, 100,33
12450,train,50 100,36
12451,train,5 10 25 50 100,39
12455,train,25 50 100,38
12456,train,50 100,7
12457,train, 100,6
12458,train, 100,22
12460,train, 100,17
12461,train, 100,19
12462,train, 100,18
12463,train, 100,18
12465,train,50 100,4
12466,train, 100,17
12467,train,25 50 100,6
12468,train,25 50 100,15
12469,train,25 50 100,13
12470,train,10 25 50 100,17
12471,train, 100,13
12472,train, 100,27
12473,train, 100,19
12474,train,50 100,28
12475,train,25 50 100,53
12476,train, 100,27
12477,train,5 10 25 50 100,28
12481,train, 100,1
12487,train, 100,1
12490,train, 100,1
12493,train, 100,48
12494,train,50 100,33
12495,train,25 50 100,28
12497,train,50 100,40
12498,train,25 50 100,5
12499,train, 100,38
12500,train,10 25 50 100,49
12501,train, 100,34
12503,train,50 100,19
12505,train,25 50 100,49
12506,train,25 50 100,49
12509,train,50 100,4
12511,train, 100,12
12512,train,25 50 100,14
12513,train, 100,16
12514,train,5 10 25 50 100,11
12515,train, 100,29
12517,train,50 100,30
12518,train, 100,30
12519,train, 100,30
12522,train, 100,47
12523,train,10 25 50 100,44
12524,train, 100,19
12527,train, 100,38
12528,train, 100,27
12530,train, 100,29
12532,train, 100,21
12533,train,10 25 50 100,27
12534,train,50 100,25
12535,train,50 100,15
12536,train,50 100,35
12537,train, 100,39
12538,train,10 25 50 100,26
12539,train, 100,32
12540,train, 100,31
12541,train, 100,33
12542,train,50 100,38
12543,train, 100,43
12544,train,50 100,40
12545,train, 100,35
12546,train,25 50 100,39
12547,train,50 100,40
12548,train,5 10 25 50 100,29
12549,train,50 100,37
12550,train, 100,34
12551,train,25 50 100,31
12552,train, 100,15
12554,train,50 100,25
12555,train, 100,40
12556,train, 100,15
12557,train,5 10 25 50 100,36
12560,train,50 100,39
12561,train,50 100,39
12563,train,25 50 100,26
12602,train,5 10 25 50 100,50
12603,train, 100,9
12604,train,50 100,16
12605,train, 100,16
12607,train,50 100,15
12608,train,25 50 100,15
12613,train, 100,12
12614,train,10 25 50 100,4
12616,train, 100,7
12617,train,5 10 25 50 100,11
12619,train, 100,20
12620,train,50 100,18
12621,train,25 50 100,11
12622,train, 100,14
12623,train,50 100,6
12624,train,5 10 25 50 100,16
12625,train,50 100,19
12626,train, 100,18
12627,train,50 100,14
12628,train, 100,11
12629,train,50 100,9
12631,train,50 100,18
12656,train,10 25 50 100,5
12660,train,50 100,1
12665,train, 100,51
12666,train,50 100,2
12671,train, 100,20
12673,train, 100,22
12674,train,50 100,29
12676,train,10 25 50 100,21
12678,train,25 50 100,11
12679,train,25 50 100,22
12680,train,5 10 25 50 100,53
12681,train,50 100,31
12682,train,25 50 100,4
12683,train, 100,7
12684,train, 100,12
12685,train, 100,11
12686,train,25 50 100,14
12687,train, 100,5
12688,train, 100,3
12689,train, 100,2
12690,train,5 10 25 50 100,5
12691,train, 100,10
12694,train,50 100,51
12695,train, 100,4
12696,train,50 100,17
12697,train,50 100,1
12698,train, 100,4
12699,train,25 50 100,3
12700,train, 100,2
12701,train, 100,18
12702,train, 100,2
12704,train,25 50 100,8
12705,train, 100,12
12706,train, 100,6
12707,train,10 25 50 100,9
12711,train, 100,50
12712,train,25 50 100,18
12714,train, 100,8
12715,train, 100,4
12716,train, 100,11
12717,train, 100,21
12722,train, 100,7
12724,train,25 50 100,1
12726,train,50 100,25
12728,train, 100,37
12729,train, 100,9
12730,train,50 100,14
12731,train,25 50 100,10
12732,train, 100,22
12733,train, 100,14
12734,train, 100,9
12736,train,50 100,4
12737,train,25 50 100,1
12739,train, 100,9
12742,train, 100,52
12743,train, 100,25
12744,train, 100,9
12745,train,50 100,10
12746,train,25 50 100,49
12747,train,10 25 50 100,13
12750,train, 100,6
12751,train, 100,13
12752,train, 100,13
12753,train,50 100,21
12755,train, 100,15
12756,train, 100,49
12757,train, 100,38
12758,train, 100,37
12759,train,25 50 100,43
12762,train, 100,29
12763,train,50 100,27
12764,train, 100,24
12765,train,25 50 100,16
12766,train, 100,14
12767,train,50 100,16
12769,train, 100,8
12770,train,50 100,7
12774,train,5 10 25 50 100,3
12776,train, 100,37
12777,train,10 25 50 100,30
12778,train, 100,15
12779,train,25 50 100,19
12780,train,50 100,17
12781,train, 100,15
12782,train, 100,20
12783,train, 100,19
12784,train,50 100,24
12785,train, 100,26
12786,train, 100,22
12787,train, 100,29
12788,train,50 100,30
12789,train,50 100,32
12790,train,50 100,26
12791,train, 100,3
12792,train,25 50 100,40
12793,train,5 10 25 50 100,27
12794,train,25 50 100,37
12795,train, 100,43
12797,train, 100,30
12798,train, 100,47
12799,train, 100,24
12803,train, 100,52
12804,train,10 25 50 100,43
12805,train,50 100,42
12806,train, 100,35
12807,train, 100,1
12808,train,5 10 25 50 100,14
12809,train,25 50 100,35
12811,train,50 100,8
12812,train,50 100,23
12814,train, 100,25
12817,train,10 25 50 100,19
12820,train, 100,10
12821,train,50 100,14
12822,train,50 100,24
12823,train,25 50 100,33
12824,train,5 10 25 50 100,4
12825,train,50 100,24
12826,train, 100,17
12827,train, 100,8
12828,train, 100,1
12829,train,50 100,2
12830,train,25 50 100,2
12832,train,25 50 100,2
12835,train,50 100,48
12836,train,25 50 100,4
12837,train,10 25 50 100,23
12838,train, 100,8
12839,train,50 100,12
12840,train,25 50 100,20
12841,train,25 50 100,19
12842,train,50 100,27
12843,train,50 100,33
12844,train, 100,39
12845,train,25 50 100,46
12846,train, 100,29
12847,train,50 100,21
12848,train, 100,20
12849,train,50 100,19
12850,train,50 100,21
12851,train, 100,16
12853,train, 100,12
12857,train, 100,54
12858,train, 100,31
12859,train, 100,29
12860,train, 100,43
12861,train, 100,42
12863,train,50 100,38
12864,train, 100,36
12866,train,10 25 50 100,33
12867,train,50 100,36
12868,train, 100,35
12869,train,50 100,34
12870,train, 100,33
12871,train,25 50 100,41
12872,train,5 10 25 50 100,39
12873,train,25 50 100,41
12874,train, 100,46
12875,train,25 50 100,47
12876,train,25 50 100,41
12877,train, 100,39
12878,train, 100,42
12879,train, 100,44
12881,train, 100,48
12882,train,50 100,46
12883,train,25 50 100,45
12884,train, 100,42
12885,train,50 100,47
12886,train, 100,39
12887,train,50 100,33
12890,train, 100,48
12899,train, 100,19
12900,train, 100,25
12901,train, 100,1
12902,train, 100,6
12903,train,25 50 100,26
12904,train,50 100,18
12905,train, 100,49
12906,train, 100,45
12910,train, 100,48
12911,train, 100,46
12912,train,50 100,31
12913,train, 100,16
12914,train,25 50 100,17
12915,train, 100,28
12916,train, 100,6
12917,train,25 50 100,7
12918,train, 100,7
12919,train,50 100,14
12920,train, 100,41
12921,train,25 50 100,26
12922,train, 100,18
12923,train,50 100,20
12924,train,25 50 100,16
12925,train,50 100,37
12926,train,50 100,34
12927,train, 100,35
12929,train,50 100,18
12930,train, 100,10
12931,train,25 50 100,18
12932,train,50 100,12
12936,train,50 100,52
12944,train, 100,1
12945,train, 100,1
12947,train,50 100,4
12948,train,1 5 10 25 50 100,3
12951,train, 100,2
12955,train, 100,15
12956,train,50 100,24
12957,train,50 100,17
12958,train, 100,19
12959,train, 100,15
12960,train, 100,40
12961,train,50 100,41
12962,train,5 10 25 50 100,14
12963,train, 100,22
12964,train,50 100,42
12965,train,25 50 100,23
12966,train, 100,16
12967,train,5 10 25 50 100,26
12968,train,25 50 100,27
12971,train, 100,55
12972,train, 100,51
12973,train, 100,24
12974,train, 100,26
12975,train,50 100,16
12976,train,50 100,12
12977,train, 100,1
12978,train, 100,2
12980,train, 100,5
12981,train,25 50 100,1
12982,train, 100,15
12983,train, 100,11
12984,train,10 25 50 100,2
12985,train, 100,12
12986,train, 100,9
12987,train,50 100,8
12988,train,25 50 100,14
12989,train,50 100,39
12990,train, 100,42
12991,train, 100,32
12995,train, 100,31
12996,train, 100,21
12998,train,5 10 25 50 100,26
12999,train,25 50 100,23
13001,train,25 50 100,44
13002,train, 100,25
13003,train, 100,36
13004,train, 100,33
13007,train, 100,53
13008,train,50 100,33
13009,train,1 5 10 25 50 100,10
13010,train,50 100,5
13011,train, 100,33
13012,train, 100,28
13014,train,25 50 100,3
13015,train,25 50 100,42
13016,train, 100,46
13017,train, 100,33
13018,train,50 100,37
13019,train, 100,35
13020,train,50 100,18
13021,train, 100,21
13022,train,50 100,37
13023,train, 100,29
13024,train,25 50 100,42
13026,train,50 100,44
13028,train, 100,48
13029,train,50 100,49
13030,train,50 100,43
13031,train, 100,43
13032,train,10 25 50 100,45
13033,train, 100,48
13034,train,25 50 100,44
13035,train,25 50 100,45
13038,train, 100,49
13039,train, 100,23
13040,train, 100,33
13041,train, 100,20
13042,train, 100,27
13043,train, 100,5
13044,train, 100,11
13046,train, 100,2
13047,train, 100,8
13048,train, 100,15
13050,train, 100,3
13051,train, 100,22
13052,train,50 100,15
13053,train, 100,20
13058,train, 100,14
13059,train, 100,6
13061,train, 100,6
13062,train,5 10 25 50 100,16
13063,train, 100,2
13066,train, 100,9
13071,train, 100,7
13080,train,25 50 100,2
13081,train, 100,8
13082,train,25 50 100,6
13083,train,5 10 25 50 100,32
13084,train,25 50 100,23
13085,train, 100,31
13086,train,50 100,13
13089,train,10 25 50 100,17
13090,train, 100,18
13092,train,25 50 100,16
13093,train, 100,23
13094,train, 100,25
13095,train,50 100,21
13097,train, 100,19
13101,train, 100,34
13102,train,50 100,6
13103,train,50 100,7
13104,train, 100,6
13109,train,50 100,9
13111,train,50 100,11
13112,train,25 50 100,9
13113,train, 100,13
13114,train,10 25 50 100,2
13115,train, 100,5
13116,train, 100,8
13117,train,5 10 25 50 100,1
13119,train,50 100,6
13122,train, 100,9
13125,train,25 50 100,9
13127,train, 100,12
13135,train,25 50 100,50
13137,train,50 100,39
13139,train,50 100,26
13140,train,25 50 100,16
13195,train, 100,2
13198,train,25 50 100,2
13223,train,10 25 50 100,5
13224,train, 100,47
13225,train,50 100,40
13226,train,50 100,32
13227,train, 100,26
13228,train, 100,27
13229,train,25 50 100,35
13230,train, 100,11
13231,train, 100,13
13233,train, 100,5
13234,train, 100,3
13235,train, 100,8
13237,train, 100,33
13238,train,50 100,17
13252,train, 100,50
13254,train,10 25 50 100,39
13265,train, 100,20
13266,train,25 50 100,6
13268,train, 100,16
13269,train, 100,17
13274,train, 100,16
13275,train,50 100,20
13276,train,25 50 100,24
13277,train, 100,36
13278,train,50 100,24
13279,train,25 50 100,30
13280,train, 100,17
13281,train, 100,22
13282,train, 100,15
13283,train, 100,28
13285,train, 100,32
13286,train,25 50 100,35
13287,train,50 100,33
13288,train,50 100,39
13289,train, 100,22
13290,train,5 10 25 50 100,19
13291,train, 100,22
13292,train,50 100,32
13293,train,50 100,40
13294,train, 100,23
13295,train,25 50 100,36
13298,train,5 10 25 50 100,26
13299,train,10 25 50 100,22
13300,train, 100,24
13301,train,10 25 50 100,23
13315,train, 100,23
13316,train,50 100,6
13318,train,25 50 100,3
13319,train, 100,4
13320,train, 100,7
13322,train,25 50 100,8
13323,train, 100,3
13326,train, 100,7
13327,train,50 100,5
13328,train, 100,2
13329,train,25 50 100,1
13333,train, 100,3
13334,train, 100,1
13335,train, 100,1
13336,train,10 25 50 100,1
13337,train,25 50 100,1
13339,train,50 100,1
13340,train,5 10 25 50 100,1
13342,train, 100,5
13346,train, 100,1
13347,train, 100,4
13354,train,25 50 100,33
13355,train,1 5 10 25 50 100,22
13356,train, 100,35
13357,train,50 100,41
13358,train, 100,51
13359,train,10 25 50 100,45
13360,train,50 100,37
14540,train,10 25 50 100,53
14542,train,50 100,50
14544,train,25 50 100,49
14545,train,50 100,32
14546,train,25 50 100,27
14547,train, 100,19
14548,train,50 100,22
14549,train, 100,7
14551,train, 100,23
14552,train, 100,23
14554,train, 100,18
14555,train,5 10 25 50 100,4
14557,train, 100,8
14558,train, 100,9
14559,train, 100,22
14560,train,50 100,43
14566,train, 100,54
14567,train,50 100,16
14568,train,25 50 100,38
14569,train, 100,29
14570,train, 100,15
14571,train, 100,16
14573,train,50 100,37
14574,train,5 10 25 50 100,30
14576,train,50 100,41
14577,train,5 10 25 50 100,31
14578,train, 100,42
14580,train,25 50 100,41
14581,train, 100,44
14582,train, 100,42
14583,train, 100,21
14584,train, 100,24
14585,train,50 100,19
14586,train,25 50 100,9
14587,train, 100,17
14589,train, 100,3
14590,train,25 50 100,14
14591,train, 100,18
14592,train,25 50 100,4
14594,train,10 25 50 100,17
14597,train,50 100,54
14600,train,50 100,1
14602,train,50 100,21
14605,train,50 100,5
14606,train, 100,25
14607,train,25 50 100,2
14608,train, 100,17
14611,train, 100,15
14612,train,50 100,22
14614,train, 100,24
14615,train,10 25 50 100,10
14616,train, 100,22
14618,train,50 100,3
14619,train,50 100,40
14620,train, 100,36
14621,train, 100,20
14622,train, 100,40
14623,train, 100,7
14624,train,50 100,41
14625,train, 100,46
14626,train, 100,15
14627,train,25 50 100,39
14628,train, 100,18
14629,train, 100,23
14630,train, 100,36
14631,train,25 50 100,19
14636,train, 100,51
14639,train, 100,25
14641,train, 100,30
14643,train,50 100,10
14644,train, 100,10
14645,train, 100,7
14646,train, 100,12
14647,train,25 50 100,11
14648,train, 100,43
14649,train, 100,48
14650,train,50 100,46
14652,train, 100,50
14653,train, 100,53
14654,train, 100,12
14655,train,10 25 50 100,27
14656,train, 100,31
14657,train, 100,46
14658,train,5 10 25 50 100,44
14659,train,50 100,27
14791,train,50 100,36
14792,train,50 100,37
14795,train,50 100,37
14797,train, 100,50
14798,train, 100,51
14800,train, 100,52
14801,train, 100,51
14802,train,25 50 100,50
14803,train,50 100,53
14804,train,50 100,51
14805,train,10 25 50 100,51
14806,train,10 25 50 100,48
14807,train,10 25 50 100,53
14808,train, 100,51
14809,train,1 5 10 25 50 100,50
14810,train, 100,53
14811,train, 100,53
14815,train, 100,51
14816,train, 100,51
14817,train, 100,51
14818,train,50 100,52
14819,train, 100,53
14820,train, 100,51
14822,train,50 100,50
14823,train,50 100,50
14824,train,10 25 50 100,51
14825,train,5 10 25 50 100,49
14827,train,25 50 100,49
14828,train,25 50 100,50
14830,train, 100,52
14831,train, 100,49
14832,train,50 100,50
14834,train,25 50 100,23
14835,train,50 100,52
14837,train, 100,52
14885,train,25 50 100,51
14886,train,25 50 100,1
14889,train,25 50 100,48
14890,train,25 50 100,35
14891,train,25 50 100,43
14892,train, 100,35
14893,train, 100,39
14894,train, 100,49
14895,train,50 100,45
14896,train,50 100,11
14898,train,50 100,41
14900,train,25 50 100,43
14901,train,25 50 100,43
14902,train,25 50 100,42
14903,train, 100,1
14904,train, 100,5
14909,train,50 100,51
14911,train, 100,25
14912,train,50 100,18
14913,train, 100,12
14914,train, 100,14
14947,train, 100,52
14949,train, 100,15
14950,train,50 100,21
14951,train,50 100,37
14952,train,25 50 100,38
14953,train,10 25 50 100,36
14954,train,50 100,38
14955,train, 100,44
14956,train,25 50 100,2
14957,train,50 100,61
14959,train, 100,52
14960,train, 100,14
14962,train,25 50 100,41
14965,train,50 100,50
14966,train, 100,1
14969,train, 100,16
14973,train, 100,13
14974,train, 100,9
14976,train,25 50 100,14
14977,train,25 50 100,14
14978,train, 100,47
14979,train, 100,45
14981,train, 100,42
14982,train, 100,34
14983,train, 100,42
14986,train,5 10 25 50 100,54
14988,train, 100,53
14989,train,25 50 100,55
14990,train,50 100,54
14991,train, 100,8
14993,train,50 100,39
14995,train,50 100,18
14997,train, 100,34
14998,train, 100,44
14999,train, 100,32
15000,train, 100,18
15001,train,5 10 25 50 100,11
15003,train,25 50 100,18
15004,train,25 50 100,18
15005,train, 100,6
15006,train, 100,6
15007,train, 100,41
15008,train, 100,24
15009,train, 100,6
15010,train,25 50 100,23
15011,train,50 100,57
15012,train, 100,33
15015,train,50 100,53
15016,train,25 50 100,36
15017,train,50 100,23
15018,train,50 100,19
15019,train,50 100,38
15020,train,50 100,29
15021,train, 100,43
15022,train,50 100,42
15023,train, 100,43
15024,train, 100,28
15034,train, 100,2
15035,train,50 100,42
15036,train, 100,42
15037,train, 100,19
15038,train, 100,31
15039,train, 100,13
15040,train,50 100,33
15041,train, 100,29
15042,train,50 100,23
15043,train, 100,51
15044,train,50 100,42
15045,train, 100,36
15046,train,25 50 100,53
15048,train, 100,50
15049,train, 100,51
15052,train, 100,53
15054,train, 100,23
15055,train,50 100,24
15056,train,25 50 100,18
15057,train, 100,14
15058,train, 100,9
15059,train,50 100,11
15060,train, 100,13
15061,train,5 10 25 50 100,11
15063,train,25 50 100,1
15064,train,25 50 100,10
15065,train,10 25 50 100,12
15067,train,1 5 10 25 50 100,26
15068,train,5 10 25 50 100,22
15069,train, 100,18
15070,train,50 100,19
15071,train,10 25 50 100,21
15072,train,25 50 100,4
15073,train,50 100,4
15077,train,50 100,30
15078,train, 100,5
15079,train, 100,13
15081,train,50 100,18
15082,train,50 100,2
15083,train,5 10 25 50 100,5
15084,train, 100,16
15085,train,50 100,27
15086,train, 100,5
15087,train,25 50 100,4
15088,train,25 50 100,28
15089,train, 100,8
15092,train, 100,30
15093,train,50 100,28
15094,train,1 5 10 25 50 100,27
15095,train,50 100,23
15096,train, 100,25
15097,train,50 100,22
15098,train, 100,25
15099,train,50 100,23
15100,train, 100,21
15104,train,25 50 100,36
15106,train,50 100,22
15107,train,50 100,26
15108,train, 100,25
15109,train,10 25 50 100,4
15111,train,25 50 100,27
15112,train,50 100,29
15113,train, 100,2
15114,train,50 100,29
15115,train,50 100,26
15116,train,50 100,26
15117,train,5 10 25 50 100,3
15118,train,25 50 100,26
15119,train, 100,25
15120,train,50 100,26
15121,train, 100,25
15122,train,25 50 100,25
15124,train, 100,2
15125,train,25 50 100,24
15126,train,25 50 100,21
15128,train,50 100,21
15129,train,50 100,5
15133,train, 100,28
15134,train, 100,1
15135,train, 100,54
15137,train, 100,24
15139,train,50 100,37
15140,train, 100,14
15141,train, 100,15
15142,train,50 100,38
15143,train,25 50 100,19
15144,train,1 5 10 25 50 100,41
15145,train, 100,7
15146,train,25 50 100,8
15147,train,50 100,5
15148,train, 100,22
15149,train,1 5 10 25 50 100,24
15152,train,50 100,44
15153,train, 100,3
15154,train, 100,27
15159,train, 100,26
15160,train, 100,4
15161,train, 100,27
15162,train, 100,28
15163,train, 100,27
15165,train,50 100,25
15167,train, 100,26
15169,train, 100,26
15170,train, 100,25
15173,train,10 25 50 100,26
15176,train,10 25 50 100,51
15178,train, 100,23
15179,train, 100,26
15180,train,5 10 25 50 100,4
15181,train,50 100,26
15182,train, 100,27
15183,train, 100,26
15185,train, 100,25
15186,train, 100,26
15187,train,50 100,25
15188,train,1 5 10 25 50 100,28
15190,train, 100,3
15192,train,10 25 50 100,26
15196,train,25 50 100,27
15198,train,50 100,27
15199,train, 100,27
15202,train,50 100,53
15203,train, 100,27
15204,train, 100,26
15205,train, 100,27
